16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.334;	-2.527;	 1.298;
0,04;	 0.000;	-1.065;	-2.580;	 1.518;
0,06;	 0.000;	-0.595;	-3.164;	 1.353;
0,08;	 0.000;	-1.117;	-2.527;	 1.518;
0,1;	 0.000;	-1.065;	-2.845;	 1.573;
0,12;	 0.000;	-1.117;	-3.323;	 1.573;
0,14;	 0.000;	-1.482;	-3.270;	 1.903;
0,16;	 0.000;	-0.804;	-2.792;	 1.518;
0,18;	 0.000;	-0.908;	-2.686;	 1.353;
0,2;	 0.000;	-0.752;	-2.633;	 1.243;
0,22;	 0.000;	-1.117;	-2.686;	 1.518;
0,24;	 0.000;	-0.595;	-2.792;	 1.573;
0,26;	 0.000;	-0.804;	-3.111;	 1.188;
0,28;	 0.000;	-0.752;	-3.111;	 1.188;
0,3;	 0.000;	-0.804;	-3.376;	 1.683;
0,32;	 0.000;	-0.752;	-2.686;	 0.804;
0,34;	 0.000;	-0.804;	-3.058;	 1.738;
0,36;	 0.000;	-0.647;	-2.739;	 1.188;
0,38;	 0.000;	-0.647;	-2.792;	 1.793;
0,4;	 0.000;	-1.012;	-2.739;	 1.628;
0,42;	 0.000;	-1.065;	-3.270;	 1.628;
0,44;	 0.000;	-1.065;	-3.058;	 1.848;
0,46;	 0.000;	-0.700;	-2.686;	 1.353;
0,48;	 0.000;	-0.856;	-3.004;	 1.463;
0,5;	 0.000;	-0.804;	-2.633;	 1.134;
0,52;	 0.000;	-0.595;	-2.580;	 1.463;
0,54;	 0.000;	-0.908;	-3.058;	 1.793;
0,56;	 0.000;	-0.700;	-2.845;	 1.903;
0,58;	 0.000;	-0.908;	-3.376;	 2.013;
0,6;	 0.000;	-0.491;	-2.474;	 1.134;
0,62;	 0.000;	-0.700;	-2.527;	 1.353;
0,64;	 0.000;	-1.012;	-2.686;	 1.518;
0,66;	 0.000;	-0.543;	-2.633;	 0.749;
0,68;	 0.000;	-0.960;	-3.429;	 2.123;
0,7;	 0.000;	-0.700;	-2.261;	 1.134;
0,72;	 0.000;	-1.012;	-2.845;	 1.683;
0,74;	 0.000;	-0.647;	-3.111;	 1.848;
0,76;	 0.000;	-0.804;	-2.845;	 1.683;
0,78;	 0.000;	-0.595;	-2.049;	 0.639;
0,8;	 0.000;	-1.430;	-2.951;	 2.177;
0,82;	 0.000;	-0.908;	-2.845;	 1.518;
0,84;	 0.000;	-1.012;	-2.686;	 1.628;
0,86;	 0.000;	-0.647;	-2.420;	 1.628;
0,88;	 0.000;	-0.856;	-3.323;	 2.013;
0,9;	 0.000;	-0.439;	-2.686;	 1.628;
0,92;	 0.000;	-0.804;	-2.898;	 1.408;
0,94;	 0.000;	-0.908;	-3.323;	 1.848;
0,96;	 0.000;	-0.595;	-3.004;	 1.463;
0,98;	 0.000;	-0.595;	-2.686;	 0.914;
1;	 0.000;	-0.752;	-3.111;	 1.353;
1,02;	 0.000;	-0.647;	-2.898;	 1.353;
1,04;	 0.000;	-0.856;	-3.482;	 1.738;
1,06;	 0.000;	-0.700;	-2.792;	 1.188;
1,08;	 0.000;	-1.169;	-3.004;	 1.793;
1,1;	 0.000;	-0.856;	-2.898;	 2.013;
1,12;	 0.000;	-0.960;	-2.845;	 1.463;
1,14;	 0.000;	-0.804;	-2.367;	 1.298;
1,16;	 0.000;	-0.960;	-3.004;	 1.958;
1,18;	 0.000;	-1.117;	-2.049;	 1.408;
1,2;	 0.000;	-0.960;	-2.951;	 1.628;
1,22;	 0.000;	-0.908;	-2.474;	 1.573;
1,24;	 0.000;	-0.700;	-2.049;	 0.749;
1,26;	 0.000;	-0.700;	-2.633;	 1.408;
1,28;	 0.000;	-0.595;	-3.058;	 1.518;
1,3;	 0.000;	-0.700;	-2.845;	 1.408;
1,32;	 0.000;	-0.700;	-2.739;	 1.188;
1,34;	 0.000;	-0.595;	-2.739;	 1.134;
1,36;	 0.000;	-0.804;	-2.580;	 1.298;
1,38;	 0.000;	-0.960;	-3.535;	 1.793;
1,4;	 0.000;	-0.752;	-3.004;	 1.793;
1,42;	 0.000;	-0.960;	-2.898;	 1.408;
1,44;	 0.000;	-1.065;	-3.323;	 1.793;
1,46;	 0.000;	-0.804;	-2.580;	 1.298;
1,48;	 0.000;	-0.752;	-2.898;	 1.958;
1,5;	 0.000;	-0.752;	-2.367;	 1.243;
1,52;	 0.000;	-0.856;	-2.633;	 1.353;
1,54;	 0.000;	-1.221;	-2.580;	 1.573;
1,56;	 0.000;	-0.908;	-2.898;	 1.408;
1,58;	 0.000;	-0.752;	-3.004;	 1.298;
1,6;	 0.000;	-0.700;	-2.898;	 0.914;
1,62;	 0.000;	-0.752;	-2.898;	 0.694;
1,64;	 0.000;	-0.647;	-2.845;	 1.134;
1,66;	 0.000;	-0.856;	-2.898;	 1.353;
1,68;	 0.000;	-0.908;	-3.323;	 2.013;
1,7;	 0.000;	-0.387;	-2.474;	 1.298;
1,72;	 0.000;	-0.700;	-2.686;	 1.628;
1,74;	 0.000;	-0.908;	-3.164;	 1.683;
1,76;	 0.000;	-0.960;	-2.845;	 1.683;
1,78;	 0.000;	-0.804;	-2.792;	 1.243;
1,8;	 0.000;	-0.908;	-3.111;	 1.628;
1,82;	 0.000;	-1.012;	-2.633;	 1.958;
1,84;	 0.000;	-1.065;	-2.420;	 1.463;
1,86;	 0.000;	-0.491;	-2.474;	 1.573;
1,88;	 0.000;	-0.647;	-2.261;	 1.848;
1,9;	 0.000;	-0.700;	-2.898;	 1.188;
1,92;	 0.000;	-1.221;	-3.270;	 1.738;
1,94;	 0.000;	-0.491;	-2.633;	 1.079;
1,96;	 0.000;	-0.491;	-2.898;	 1.134;
1,98;	 0.000;	-0.491;	-2.898;	 1.408;
2;	 0.000;	-0.647;	-3.217;	 1.463;
2,02;	 0.000;	-0.804;	-2.845;	 1.518;
2,04;	 0.000;	-0.334;	-2.527;	 1.518;
2,06;	 0.000;	-0.439;	-2.686;	 1.573;
2,08;	 0.000;	-0.856;	-3.111;	 1.573;
2,1;	 0.000;	-1.065;	-2.739;	 1.683;
2,12;	 0.000;	-0.856;	-2.792;	 1.353;
2,14;	 0.000;	-0.856;	-3.111;	 2.013;
2,16;	 0.000;	-1.273;	-2.739;	 1.134;
2,18;	 0.000;	-0.856;	-3.111;	 1.628;
2,2;	 0.000;	-0.752;	-2.792;	 1.518;
2,22;	 0.000;	-0.700;	-2.739;	 1.408;
2,24;	 0.000;	-0.647;	-2.633;	 0.914;
2,26;	 0.000;	-1.221;	-3.111;	 1.188;
2,28;	 0.000;	-1.012;	-3.642;	 1.463;
2,3;	 0.000;	-0.439;	-2.420;	 1.079;
2,32;	 0.000;	-0.334;	-2.314;	 1.353;
2,34;	 0.000;	-0.387;	-2.845;	 1.683;
2,36;	 0.000;	-0.543;	-2.633;	 1.463;
2,38;	 0.000;	-1.273;	-3.111;	 1.408;
2,4;	 0.000;	-1.325;	-2.527;	 1.134;
2,42;	 0.000;	-0.856;	-3.164;	 1.793;
2,44;	 0.000;	-0.752;	-2.739;	 1.243;
2,46;	 0.000;	-0.908;	-2.898;	 1.628;
2,48;	 0.000;	-1.065;	-2.792;	 1.573;
2,5;	 0.000;	-0.647;	-2.845;	 1.793;
2,52;	 0.000;	-1.012;	-3.111;	 1.463;
2,54;	 0.000;	-1.273;	-2.739;	 1.848;
2,56;	 0.000;	-0.804;	-2.898;	 1.134;
2,58;	 0.000;	-0.908;	-3.323;	 1.573;
2,6;	 0.000;	-0.387;	-2.686;	 0.969;
2,62;	 0.000;	-1.065;	-3.058;	 1.079;
2,64;	 0.000;	-0.700;	-2.686;	 0.969;
2,66;	 0.000;	-0.752;	-3.058;	 1.573;
2,68;	 0.000;	-0.491;	-3.535;	 1.463;
2,7;	 0.000;	-0.804;	-3.004;	 0.859;
2,72;	 0.000;	-0.960;	-2.792;	 1.243;
2,74;	 0.000;	-1.012;	-2.845;	 1.079;
2,76;	 0.000;	-0.700;	-2.580;	 1.353;
2,78;	 0.000;	-0.804;	-3.270;	 1.793;
2,8;	 0.000;	-1.221;	-2.739;	 1.463;
2,82;	 0.000;	-0.752;	-2.580;	 1.463;
2,84;	 0.000;	-1.012;	-2.686;	 2.013;
2,86;	 0.000;	-0.752;	-2.474;	 1.298;
2,88;	 0.000;	-0.856;	-3.004;	 1.793;
2,9;	 0.000;	-0.491;	-2.527;	 1.573;
2,92;	 0.000;	-0.647;	-2.686;	 1.573;
2,94;	 0.000;	-0.856;	-3.164;	 1.628;
2,96;	 0.000;	-0.595;	-2.845;	 1.518;
2,98;	 0.000;	-0.230;	-2.049;	 0.749;
3;	 0.000;	-0.543;	-2.314;	 1.188;
3,02;	 0.000;	-0.387;	-2.474;	 1.024;
3,04;	 0.000;	-0.908;	-3.111;	 1.188;
3,06;	 0.000;	-1.325;	-2.951;	 1.518;
3,08;	 0.000;	-0.804;	-2.898;	 1.353;
3,1;	 0.000;	-0.908;	-3.323;	 1.683;
3,12;	 0.000;	-0.804;	-3.217;	 1.903;
3,14;	 0.000;	-1.065;	-3.111;	 1.353;
3,16;	 0.000;	-0.856;	-2.739;	 1.353;
3,18;	 0.000;	-1.012;	-2.686;	 1.188;
3,2;	 0.000;	-1.273;	-3.111;	 1.628;
3,22;	 0.000;	-0.752;	-3.323;	 1.408;
3,24;	 0.000;	-1.325;	-3.164;	 1.408;
3,26;	 0.000;	-0.543;	-2.527;	 0.969;
3,28;	 0.000;	-0.647;	-2.527;	 1.573;
3,3;	 0.000;	-0.595;	-2.580;	 1.573;
3,32;	 0.000;	-0.595;	-3.323;	 1.518;
3,34;	 0.000;	-0.908;	-2.898;	 1.573;
3,36;	 0.000;	-0.804;	-2.951;	 1.134;
3,38;	 0.000;	-1.065;	-2.686;	 1.848;
3,4;	 0.000;	-0.908;	-3.376;	 1.903;
3,42;	 0.000;	-1.065;	-2.739;	 1.463;
3,44;	 0.000;	-1.273;	-3.323;	 1.903;
3,46;	 0.000;	-0.647;	-3.111;	 1.793;
3,48;	 0.000;	-0.752;	-2.951;	 1.573;
3,5;	 0.000;	-0.752;	-3.058;	 1.518;
3,52;	 0.000;	-0.856;	-3.004;	 1.408;
3,54;	 0.000;	-1.117;	-2.898;	 1.573;
3,56;	 0.000;	-0.700;	-2.739;	 1.848;
3,58;	 0.000;	-0.647;	-2.474;	 0.969;
3,6;	 0.000;	-0.856;	-3.642;	 1.793;
3,62;	 0.000;	-0.595;	-3.004;	 1.243;
3,64;	 0.000;	-0.647;	-3.164;	 1.188;
3,66;	 0.000;	-0.647;	-3.270;	 1.738;
3,68;	 0.000;	-0.387;	-2.951;	 1.134;
3,7;	 0.000;	-1.430;	-3.270;	 1.848;
3,72;	 0.000;	-0.804;	-2.792;	 1.518;
3,74;	 0.000;	-0.439;	-2.792;	 1.573;
3,76;	 0.000;	-0.543;	-2.633;	 1.463;
3,78;	 0.000;	-1.065;	-3.111;	 1.793;
3,8;	 0.000;	-0.960;	-2.474;	 1.408;
3,82;	 0.000;	-1.117;	-2.739;	 2.013;
3,84;	 0.000;	-0.543;	-2.633;	 1.683;
3,86;	 0.000;	-1.169;	-2.792;	 1.793;
3,88;	 0.000;	-0.856;	-3.217;	 1.628;
3,9;	 0.000;	-0.647;	-3.004;	 1.903;
3,92;	 0.000;	-0.700;	-2.792;	 1.134;
3,94;	 0.000;	-0.752;	-3.323;	 1.958;
3,96;	 0.000;	-0.387;	-2.527;	 0.969;
3,98;	 0.000;	-0.804;	-3.270;	 1.958;
4;	 0.000;	-0.282;	-2.474;	 1.134;
4,02;	 0.000;	-0.439;	-2.951;	 1.188;
4,04;	 0.000;	-1.012;	-3.111;	 1.683;
4,06;	 0.000;	-1.325;	-3.748;	 2.232;
4,08;	 0.000;	-0.908;	-2.898;	 1.573;
4,1;	 0.000;	-0.960;	-2.739;	 1.188;
4,12;	 0.000;	-0.491;	-2.739;	 1.573;
4,14;	 0.000;	-0.804;	-3.058;	 1.463;
4,16;	 0.000;	-1.117;	-2.951;	 2.013;
4,18;	 0.000;	-0.960;	-2.898;	 1.353;
4,2;	 0.000;	-0.908;	-2.845;	 1.353;
4,22;	 0.000;	-1.117;	-3.164;	 1.683;
4,24;	 0.000;	-0.752;	-2.845;	 1.683;
4,26;	 0.000;	-0.804;	-3.323;	 1.848;
4,28;	 0.000;	-0.700;	-2.898;	 1.518;
4,3;	 0.000;	-0.230;	-2.686;	 1.298;
4,32;	 0.000;	-1.065;	-3.111;	 1.793;
4,34;	 0.000;	-0.595;	-2.686;	 1.134;
4,36;	 0.000;	-0.752;	-3.111;	 1.188;
4,38;	 0.000;	-0.856;	-3.376;	 2.068;
4,4;	 0.000;	-0.752;	-1.943;	 1.134;
4,42;	 0.000;	-1.378;	-3.111;	 1.628;
4,44;	 0.000;	-1.117;	-2.845;	 1.793;
4,46;	 0.000;	-1.012;	-2.845;	 1.683;
4,48;	 0.000;	-1.482;	-2.474;	 2.068;
4,5;	 0.000;	-0.804;	-2.633;	 1.463;
4,52;	 0.000;	-1.273;	-3.111;	 1.628;
4,54;	 0.000;	-0.752;	-3.058;	 1.628;
4,56;	 0.000;	-1.065;	-3.058;	 1.738;
4,58;	 0.000;	-1.065;	-2.898;	 1.353;
4,6;	 0.000;	-0.700;	-2.739;	 1.573;
4,62;	 0.000;	-0.543;	-2.420;	 0.859;
4,64;	 0.000;	-0.491;	-2.898;	 1.573;
4,66;	 0.000;	-0.700;	-2.527;	 1.024;
4,68;	 0.000;	-0.439;	-3.111;	 1.134;
