16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.647; 	-3.004; 	 0.914; 	104.191; 	-25.457; 	-17.911; 	-16.997; 
0,08; 	 0.000; 	 0.187; 	-3.111; 	 1.463; 	104.191; 	-26.677; 	-18.978; 	-17.378; 
0,12; 	 0.000; 	-0.334; 	-3.854; 	 1.793; 	103.886; 	-26.677; 	-13.033; 	-17.302; 
0,16; 	 0.000; 	-1.795; 	-3.748; 	 2.452; 	105.106; 	-27.286; 	-0.610; 	-14.177; 
0,2; 	 0.000; 	-2.108; 	-4.703; 	 3.441; 	105.868; 	-28.049; 	10.823; 	-12.424; 
0,24; 	 0.000; 	-1.690; 	-3.960; 	 3.991; 	105.563; 	-29.116; 	15.549; 	-13.948; 
0,28; 	 0.000; 	-2.003; 	-3.535; 	 3.331; 	105.715; 	-29.420; 	20.960; 	-14.558; 
0,32; 	 0.000; 	-1.482; 	-2.898; 	 2.452; 	103.886; 	-31.555; 	20.350; 	-17.911; 
0,36; 	 0.000; 	-1.012; 	-2.367; 	 2.177; 	104.344; 	-31.402; 	23.247; 	-16.844; 
0,4; 	 0.000; 	-1.378; 	-0.987; 	 2.232; 	104.344; 	-31.250; 	21.875; 	-16.692; 
0,44; 	 0.000; 	-1.482; 	-1.412; 	 2.013; 	103.886; 	-32.774; 	23.247; 	-17.911; 
0,48; 	 0.000; 	-1.899; 	-0.031; 	 2.452; 	103.886; 	-31.555; 	22.485; 	-17.225; 
0,52; 	 0.000; 	-2.212; 	 1.137; 	 2.232; 	104.496; 	-32.012; 	23.399; 	-18.216; 
0,56; 	 0.000; 	-1.690; 	 1.455; 	 2.892; 	104.191; 	-33.079; 	22.180; 	-17.911; 
0,6; 	 0.000; 	-2.212; 	 1.774; 	 2.782; 	104.648; 	-32.317; 	22.332; 	-18.293; 
0,64; 	 0.000; 	-1.482; 	 2.358; 	 1.793; 	104.801; 	-32.164; 	20.960; 	-17.911; 
0,68; 	 0.000; 	-1.378; 	 3.314; 	 0.364; 	104.191; 	-33.536; 	20.503; 	-18.978; 
0,72; 	 0.000; 	-1.899; 	 3.526; 	 1.353; 	104.191; 	-31.555; 	21.875; 	-16.692; 
0,76; 	 0.000; 	-1.482; 	 5.119; 	 0.914; 	103.886; 	-33.384; 	22.485; 	-18.216; 
0,8; 	 0.000; 	-1.690; 	 5.013; 	 1.463; 	104.344; 	-32.164; 	19.893; 	-17.988; 
0,84; 	 0.000; 	-2.003; 	 5.862; 	 1.463; 	104.648; 	-31.707; 	21.722; 	-17.073; 
