16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.022; 	-3.004; 	 1.024; 	104.039; 	12.652; 	11.738; 	12.881; 
0,08; 	 0.000; 	-0.334; 	-3.004; 	 1.683; 	105.258; 	13.415; 	13.567; 	15.168; 
0,12; 	 0.000; 	-2.108; 	-4.438; 	 2.452; 	105.411; 	14.024; 	24.466; 	16.463; 
0,16; 	 0.000; 	-1.899; 	-3.960; 	 3.112; 	105.411; 	14.329; 	46.493; 	18.902; 
0,2; 	 0.000; 	-2.733; 	-4.597; 	 3.991; 	106.325; 	15.244; 	64.252; 	20.960; 
0,24; 	 0.000; 	-2.942; 	-4.810; 	 4.210; 	106.325; 	15.549; 	77.286; 	22.256; 
0,28; 	 0.000; 	-2.942; 	-4.491; 	 4.320; 	107.392; 	17.225; 	86.432; 	24.466; 
0,32; 	 0.000; 	-3.568; 	-3.642; 	 4.430; 	107.545; 	16.768; 	90.548; 	24.314; 
0,36; 	 0.000; 	-2.525; 	-2.792; 	 5.199; 	107.392; 	17.225; 	92.682; 	24.238; 
0,4; 	 0.000; 	-3.777; 	-1.730; 	 4.870; 	107.545; 	16.921; 	93.902; 	 6.707; 
0,44; 	 0.000; 	-2.733; 	 0.287; 	 3.991; 	105.715; 	16.692; 	92.987; 	24.009; 
0,48; 	 0.000; 	-2.994; 	 0.659; 	 3.991; 	107.545; 	17.759; 	93.749; 	24.695; 
