16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.334; 	-3.960; 	 1.683; 	104.344; 	-0.305; 	 1.524; 	 1.448; 
0,08; 	 0.000; 	-0.439; 	-3.748; 	 1.353; 	104.801; 	-0.610; 	 0.915; 	 2.210; 
0,12; 	 0.000; 	11.608; 	 5.968; 	 2.232; 	102.972; 	-3.963; 	19.741; 	 1.220; 
0,16; 	 0.000; 	-1.690; 	-3.535; 	 3.331; 	104.191; 	-6.936; 	-19.131; 	-18.826; 
0,2; 	 0.000; 	-2.212; 	-4.279; 	 3.441; 	104.953; 	-7.393; 	78.201; 	 8.079; 
0,24; 	 0.000; 	-2.733; 	-4.597; 	 5.309; 	106.630; 	-9.070; 	101.447; 	 8.003; 
0,28; 	 0.000; 	-2.108; 	-3.535; 	 4.210; 	105.258; 	-10.899; 	112.118; 	 2.134; 
0,32; 	 0.000; 	-2.525; 	-1.305; 	 3.991; 	104.648; 	-11.204; 	117.987; 	 4.116; 
0,36; 	 0.000; 	-3.985; 	-0.350; 	 5.089; 	106.325; 	-11.204; 	123.932; 	 5.183; 
0,4; 	 0.000; 	-3.777; 	 1.721; 	 4.650; 	106.630; 	-13.338; 	123.627; 	 4.573; 
0,44; 	 0.000; 	-3.985; 	 2.995; 	 4.210; 	106.935; 	-14.863; 	124.389; 	 1.829; 
0,48; 	 0.000; 	-3.672; 	 5.331; 	 3.991; 	106.325; 	-16.997; 	124.542; 	 0.915; 
0,52; 	 0.000; 	-3.777; 	 7.243; 	 5.364; 	105.715; 	-17.607; 	121.493; 	 0.915; 
0,56; 	 0.000; 	-3.777; 	 9.048; 	 4.870; 	106.630; 	-18.826; 	121.798; 	 0.000; 
0,6; 	 0.000; 	-3.568; 	10.641; 	 4.870; 	106.783; 	-19.131; 	120.273; 	-1.220; 
0,64; 	 0.000; 	-3.777; 	12.234; 	 5.089; 	105.411; 	-21.570; 	118.139; 	-2.134; 
0,68; 	 0.000; 	-3.777; 	14.251; 	 4.430; 	104.953; 	-22.180; 	116.005; 	-2.744; 
