16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.126; 	-3.004; 	 1.463; 	104.344; 	-1.982; 	-0.152; 	 1.143; 
0,08; 	 0.000; 	-0.022; 	-3.217; 	 1.243; 	104.344; 	-1.677; 	 1.067; 	 1.982; 
0,12; 	 0.000; 	-0.439; 	-3.111; 	 1.793; 	104.496; 	-0.152; 	 2.439; 	 2.744; 
0,16; 	 0.000; 	-0.439; 	-3.217; 	 1.463; 	104.496; 	 0.915; 	 3.659; 	 3.506; 
0,2; 	 0.000; 	 0.135; 	-2.686; 	 1.683; 	104.496; 	 1.829; 	 3.201; 	 3.811; 
0,24; 	 0.000; 	-0.230; 	-3.004; 	 1.353; 	104.496; 	 2.439; 	 5.335; 	 5.030; 
0,28; 	 0.000; 	-0.439; 	-3.323; 	 1.793; 	105.106; 	 4.649; 	 4.878; 	 6.707; 
0,32; 	 0.000; 	-0.126; 	-3.323; 	 1.573; 	104.801; 	 5.488; 	 7.469; 	 7.317; 
0,36; 	 0.000; 	-0.334; 	-3.111; 	 1.353; 	104.801; 	 6.402; 	 6.707; 	 8.384; 
0,4; 	 0.000; 	-0.334; 	-2.792; 	 1.683; 	104.344; 	 6.860; 	 8.537; 	 8.155; 
0,44; 	 0.000; 	-0.230; 	-3.111; 	 1.353; 	104.191; 	 7.622; 	 8.537; 	 9.222; 
0,48; 	 0.000; 	-0.334; 	-3.004; 	 1.573; 	105.106; 	 8.689; 	10.061; 	10.366; 
0,52; 	 0.000; 	 0.291; 	-2.792; 	 1.243; 	104.344; 	 9.451; 	 9.908; 	10.976; 
0,56; 	 0.000; 	-0.334; 	-3.004; 	 1.463; 	104.648; 	10.213; 	11.433; 	10.899; 
0,6; 	 0.000; 	 0.291; 	-2.686; 	 1.134; 	104.039; 	10.366; 	11.585; 	12.043; 
0,64; 	 0.000; 	-0.230; 	-3.429; 	 1.024; 	104.648; 	11.890; 	12.043; 	13.338; 
0,68; 	 0.000; 	 0.083; 	-3.004; 	 1.024; 	104.039; 	12.805; 	12.195; 	13.567; 
0,72; 	 0.000; 	-0.230; 	-3.111; 	 1.573; 	105.106; 	13.719; 	12.957; 	14.329; 
0,76; 	 0.000; 	-0.126; 	-2.580; 	 1.463; 	104.648; 	13.719; 	13.262; 	14.558; 
0,8; 	 0.000; 	-0.022; 	-2.474; 	 1.353; 	104.648; 	14.177; 	14.329; 	15.472; 
0,84; 	 0.000; 	-0.960; 	-3.854; 	 2.562; 	106.173; 	15.930; 	14.786; 	15.930; 
0,88; 	 0.000; 	-1.273; 	-4.279; 	 2.452; 	106.325; 	17.302; 	15.854; 	16.768; 
0,92; 	 0.000; 	-1.273; 	-4.385; 	 2.782; 	106.630; 	17.302; 	15.854; 	16.463; 
0,96; 	 0.000; 	-0.543; 	-3.535; 	 1.134; 	104.496; 	16.692; 	16.387; 	16.692; 
1; 	 0.000; 	-0.752; 	-3.429; 	 1.573; 	104.953; 	17.454; 	15.168; 	16.539; 
1,04; 	 0.000; 	-0.647; 	-3.535; 	 1.793; 	105.106; 	18.216; 	16.082; 	17.302; 
1,08; 	 0.000; 	-0.960; 	-3.323; 	 1.134; 	104.648; 	17.759; 	14.939; 	16.768; 
