16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-2.792; 	 1.188; 	104.039; 	 9.451; 	10.671; 	10.594; 
0,08; 	 0.000; 	-0.022; 	-3.004; 	 1.243; 	104.344; 	 8.689; 	 9.908; 	10.899; 
0,12; 	 0.000; 	 0.083; 	-3.217; 	 1.463; 	105.106; 	 7.469; 	 8.689; 	 9.146; 
0,16; 	 0.000; 	-0.022; 	-3.429; 	 1.134; 	104.191; 	 7.012; 	 8.537; 	 8.918; 
0,2; 	 0.000; 	-0.074; 	-3.217; 	 1.134; 	104.496; 	 6.402; 	 7.012; 	 7.622; 
0,24; 	 0.000; 	 0.343; 	-2.898; 	 1.134; 	104.191; 	 5.335; 	 6.402; 	 6.402; 
0,28; 	 0.000; 	-0.334; 	-2.792; 	 1.683; 	104.648; 	 4.726; 	 5.030; 	 6.555; 
0,32; 	 0.000; 	-0.543; 	-3.217; 	 1.463; 	104.648; 	 3.506; 	 5.030; 	 4.573; 
0,36; 	 0.000; 	-0.334; 	-2.898; 	 1.353; 	105.106; 	 1.829; 	 4.116; 	 4.573; 
0,4; 	 0.000; 	-0.439; 	-3.429; 	 1.463; 	104.496; 	 0.152; 	 3.811; 	 3.887; 
0,44; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	104.648; 	 0.305; 	 2.134; 	 3.049; 
0,48; 	 0.000; 	-0.126; 	-3.217; 	 1.463; 	104.648; 	-0.457; 	 2.134; 	 1.448; 
0,52; 	 0.000; 	-0.230; 	-3.535; 	 1.903; 	104.801; 	-1.372; 	 0.610; 	 1.905; 
0,56; 	 0.000; 	-0.126; 	-2.898; 	 1.353; 	104.496; 	-3.049; 	 0.152; 	 0.305; 
0,6; 	 0.000; 	-0.647; 	-3.217; 	 1.463; 	104.344; 	-4.268; 	-1.067; 	-0.152; 
0,64; 	 0.000; 	-0.960; 	-2.898; 	 1.134; 	104.801; 	-5.412; 	-3.049; 	-1.220; 
0,68; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	104.191; 	-6.326; 	-3.354; 	-2.439; 
0,72; 	 0.000; 	-0.334; 	-2.898; 	 1.573; 	104.953; 	-7.546; 	-4.497; 	-3.887; 
0,76; 	 0.000; 	 0.291; 	-2.474; 	 0.694; 	103.734; 	-9.375; 	-6.326; 	-5.412; 
0,8; 	 0.000; 	-1.169; 	-3.642; 	 2.123; 	105.258; 	-8.918; 	-4.497; 	-3.735; 
0,84; 	 0.000; 	-1.273; 	-3.854; 	 1.573; 	104.648; 	-10.594; 	-7.241; 	-6.555; 
0,88; 	 0.000; 	-0.647; 	-3.960; 	 2.232; 	105.411; 	-10.594; 	-6.631; 	-6.174; 
0,92; 	 0.000; 	-0.960; 	-3.642; 	 2.342; 	105.563; 	-12.119; 	-7.698; 	-8.003; 
0,96; 	 0.000; 	-0.960; 	-3.854; 	 2.123; 	105.258; 	-13.186; 	-8.613; 	-7.698; 
1; 	 0.000; 	-1.169; 	-3.854; 	 2.232; 	104.953; 	-14.710; 	-9.375; 	-9.222; 
1,04; 	 0.000; 	-0.960; 	-3.535; 	 2.123; 	104.801; 	-16.235; 	-10.442; 	-10.213; 
1,08; 	 0.000; 	-1.169; 	-3.748; 	 1.903; 	104.953; 	-16.844; 	-10.747; 	-10.442; 
1,12; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	105.106; 	-17.759; 	-11.509; 	-11.204; 
1,16; 	 0.000; 	-1.273; 	-3.748; 	 2.342; 	105.868; 	-17.911; 	-11.966; 	-11.661; 
1,2; 	 0.000; 	-0.960; 	-3.854; 	 1.903; 	105.258; 	-19.741; 	-13.491; 	-12.500; 
1,24; 	 0.000; 	-1.065; 	-3.748; 	 1.903; 	104.496; 	-20.198; 	-13.948; 	-13.033; 
1,28; 	 0.000; 	-0.752; 	-3.535; 	 1.573; 	104.496; 	-22.485; 	-15.777; 	-14.863; 
1,32; 	 0.000; 	-1.065; 	-3.111; 	 2.013; 	104.953; 	-22.789; 	-15.168; 	-15.244; 
1,36; 	 0.000; 	-0.960; 	-3.429; 	 1.903; 	104.801; 	-23.780; 	-17.759; 	-15.777; 
1,4; 	 0.000; 	-0.647; 	-3.323; 	 1.243; 	104.191; 	-25.457; 	-18.369; 	-16.692; 
1,44; 	 0.000; 	-0.647; 	-3.642; 	 1.463; 	104.648; 	-25.000; 	-18.369; 	-16.082; 
1,48; 	 0.000; 	-0.960; 	-3.748; 	 1.683; 	104.648; 	-25.305; 	-18.674; 	-16.921; 
1,52; 	 0.000; 	-0.752; 	-3.642; 	 1.683; 	104.344; 	-26.219; 	-19.893; 	-17.759; 
1,56; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.496; 	-26.981; 	-20.503; 	-18.521; 
1,6; 	 0.000; 	-1.273; 	-3.801; 	 2.232; 	104.496; 	-27.591; 	-19.741; 	-18.064; 
1,64; 	 0.000; 	-0.647; 	-3.111; 	 2.232; 	104.648; 	-27.896; 	-21.265; 	-19.741; 
1,68; 	 0.000; 	-1.065; 	-3.642; 	 1.903; 	104.953; 	-28.353; 	-20.198; 	-19.207; 
1,72; 	 0.000; 	-1.065; 	-3.217; 	 1.463; 	104.191; 	-30.030; 	-21.875; 	-20.655; 
1,76; 	 0.000; 	-1.065; 	-3.323; 	 1.353; 	104.496; 	-30.030; 	-21.875; 	-20.579; 
1,8; 	 0.000; 	-1.117; 	-3.748; 	 1.573; 	104.801; 	-30.030; 	-21.570; 	-20.046; 
1,84; 	 0.000; 	-0.960; 	-3.748; 	 1.353; 	104.496; 	-30.335; 	-21.875; 	-19.969; 
1,88; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.191; 	-30.183; 	-21.417; 	-20.655; 
1,92; 	 0.000; 	-0.960; 	-3.642; 	 1.463; 	104.648; 	-30.716; 	-21.875; 	-20.198; 
