16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	 0.604; 	-3.535; 	 1.848; 	105.411; 	17.607; 	16.692; 	17.149; 
0,08; 	 0.000; 	-0.647; 	-3.535; 	 1.903; 	104.953; 	18.064; 	15.320; 	16.235; 
0,12; 	 0.000; 	-0.856; 	-3.960; 	 2.013; 	105.106; 	18.521; 	16.387; 	17.683; 
0,16; 	 0.000; 	-0.647; 	-3.323; 	 1.683; 	104.496; 	17.911; 	17.607; 	16.158; 
0,2; 	 0.000; 	-0.856; 	-3.535; 	 2.892; 	105.106; 	18.826; 	17.302; 	17.683; 
0,24; 	 0.000; 	-0.856; 	-3.535; 	 2.013; 	104.877; 	17.759; 	17.378; 	16.692; 
0,28; 	 0.000; 	-0.647; 	-3.535; 	 2.013; 	105.411; 	18.216; 	14.939; 	18.597; 
0,32; 	 0.000; 	-1.586; 	-3.960; 	 2.232; 	105.868; 	19.436; 	16.082; 	18.902; 
0,36; 	 0.000; 	-0.856; 	-3.960; 	 2.013; 	104.953; 	20.046; 	16.997; 	19.283; 
0,4; 	 0.000; 	-0.439; 	-3.748; 	 1.573; 	104.801; 	18.826; 	15.320; 	17.988; 
0,44; 	 0.000; 	-0.752; 	-3.748; 	 1.683; 	104.801; 	18.369; 	15.777; 	17.835; 
0,48; 	 0.000; 	-0.856; 	-3.960; 	 2.232; 	105.411; 	18.674; 	17.911; 	18.216; 
0,52; 	 0.000; 	-0.856; 	-2.898; 	 2.452; 	105.715; 	18.826; 	15.472; 	17.302; 
0,56; 	 0.000; 	-1.169; 	-3.217; 	 2.123; 	105.258; 	18.369; 	17.759; 	17.454; 
0,6; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.563; 	16.692; 	15.777; 	16.463; 
0,64; 	 0.000; 	-0.543; 	-3.323; 	 1.793; 	104.801; 	17.302; 	16.539; 	16.158; 
0,68; 	 0.000; 	-0.334; 	-3.429; 	 1.243; 	105.258; 	17.149; 	15.777; 	17.149; 
0,72; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.411; 	16.844; 	14.939; 	14.939; 
0,76; 	 0.000; 	-0.439; 	-3.004; 	 1.353; 	104.648; 	16.387; 	14.634; 	17.302; 
0,8; 	 0.000; 	-0.960; 	-4.279; 	 2.562; 	106.630; 	16.692; 	16.844; 	16.235; 
0,84; 	 0.000; 	 0.187; 	-3.111; 	 1.793; 	105.258; 	15.472; 	13.719; 	15.549; 
0,88; 	 0.000; 	-1.273; 	-3.748; 	 3.112; 	106.478; 	15.396; 	15.549; 	16.768; 
0,92; 	 0.000; 	-1.273; 	-3.642; 	 2.232; 	105.563; 	14.024; 	14.939; 	15.015; 
0,96; 	 0.000; 	-1.065; 	-2.792; 	 1.463; 	104.801; 	12.957; 	13.110; 	12.957; 
1; 	 0.000; 	 0.291; 	-2.792; 	 1.243; 	104.344; 	12.652; 	12.652; 	14.558; 
