16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.482; 	-3.748; 	 2.232; 	105.411; 	-28.201; 	-20.350; 	-18.216; 
0,08; 	 0.000; 	-0.439; 	-2.898; 	 1.573; 	104.801; 	-29.116; 	-20.655; 	-19.360; 
0,12; 	 0.000; 	-1.117; 	-3.323; 	 1.573; 	104.801; 	-28.811; 	-20.655; 	-18.521; 
0,16; 	 0.000; 	-1.065; 	-3.111; 	 1.903; 	104.496; 	-27.286; 	-19.436; 	-17.607; 
0,2; 	 0.000; 	-1.065; 	-3.748; 	 1.683; 	104.496; 	-26.829; 	-19.436; 	-17.607; 
0,24; 	 0.000; 	-0.960; 	-3.642; 	 1.463; 	104.496; 	-26.524; 	-19.588; 	-17.378; 
0,28; 	 0.000; 	-0.856; 	-3.960; 	 1.683; 	104.801; 	-25.457; 	-17.911; 	-16.006; 
0,32; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.801; 	-24.542; 	-18.216; 	-15.777; 
0,36; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.496; 	-23.933; 	-16.997; 	-14.558; 
0,4; 	 0.000; 	-1.065; 	-3.429; 	 1.793; 	104.648; 	-23.399; 	-16.616; 	-16.082; 
0,44; 	 0.000; 	-1.273; 	-3.111; 	 1.793; 	105.106; 	-22.789; 	-14.863; 	-14.863; 
0,48; 	 0.000; 	-1.065; 	-3.217; 	 1.134; 	103.581; 	-22.942; 	-15.472; 	-14.863; 
0,52; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	104.496; 	-20.655; 	-13.338; 	-12.652; 
0,56; 	 0.000; 	-0.960; 	-3.854; 	 1.298; 	104.953; 	-19.588; 	-13.643; 	-12.195; 
0,6; 	 0.000; 	-0.960; 	-3.854; 	 2.123; 	105.258; 	-17.454; 	-11.509; 	-10.899; 
0,64; 	 0.000; 	-0.647; 	-3.323; 	 1.683; 	104.496; 	-18.216; 	-11.509; 	-10.594; 
0,68; 	 0.000; 	-1.169; 	-3.217; 	 1.683; 	104.648; 	-16.387; 	-11.052; 	-10.747; 
0,72; 	 0.000; 	-1.273; 	-4.066; 	 2.232; 	105.411; 	-14.710; 	-9.680; 	-9.070; 
0,76; 	 0.000; 	-1.378; 	-3.323; 	 1.353; 	105.106; 	-14.405; 	-9.680; 	-8.918; 
0,8; 	 0.000; 	-1.482; 	-3.535; 	 2.013; 	105.106; 	-12.576; 	-6.936; 	-7.165; 
0,84; 	 0.000; 	-0.856; 	-3.960; 	 2.013; 	104.496; 	-12.271; 	-7.241; 	-6.250; 
0,88; 	 0.000; 	-0.856; 	-3.854; 	 1.683; 	105.563; 	-11.357; 	-6.479; 	-5.183; 
0,92; 	 0.000; 	-1.065; 	-3.854; 	 1.573; 	105.106; 	-10.137; 	-6.479; 	-5.107; 
0,96; 	 0.000; 	-1.795; 	-3.960; 	 1.903; 	105.563; 	-8.918; 	-5.869; 	-4.192; 
1; 	 0.000; 	-1.273; 	-3.748; 	 2.232; 	105.563; 	-7.241; 	-3.277; 	-2.896; 
1,04; 	 0.000; 	-1.378; 	-3.429; 	 1.683; 	105.563; 	-6.479; 	-3.277; 	-2.820; 
1,08; 	 0.000; 	-0.334; 	-2.792; 	 1.463; 	104.953; 	-4.954; 	-2.744; 	-1.372; 
1,12; 	 0.000; 	-0.543; 	-2.686; 	 1.353; 	104.648; 	-5.107; 	-2.744; 	-0.305; 
1,16; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	104.953; 	-4.344; 	-1.829; 	 0.229; 
1,2; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	104.039; 	-3.354; 	-0.610; 	 0.457; 
1,24; 	 0.000; 	-0.543; 	-3.217; 	 1.463; 	105.106; 	-1.067; 	 1.067; 	 1.753; 
1,28; 	 0.000; 	-0.230; 	-2.686; 	 1.793; 	104.801; 	 0.305; 	 2.134; 	 3.201; 
1,32; 	 0.000; 	-0.334; 	-3.004; 	 1.463; 	104.953; 	 0.762; 	 3.506; 	 3.811; 
1,36; 	 0.000; 	-0.647; 	-3.323; 	 1.683; 	104.953; 	 1.524; 	 4.116; 	 4.268; 
1,4; 	 0.000; 	-0.752; 	-3.004; 	 1.793; 	105.106; 	 2.744; 	 4.878; 	 4.573; 
1,44; 	 0.000; 	-0.960; 	-2.898; 	 1.463; 	104.496; 	 3.811; 	 4.573; 	 5.793; 
1,48; 	 0.000; 	-0.647; 	-2.686; 	 1.683; 	104.496; 	 3.963; 	 5.488; 	 5.716; 
1,52; 	 0.000; 	-0.647; 	-2.898; 	 1.573; 	104.801; 	 5.793; 	 7.012; 	 7.393; 
1,56; 	 0.000; 	-0.543; 	-3.429; 	 1.573; 	105.106; 	 6.860; 	 8.384; 	 8.384; 
1,6; 	 0.000; 	-0.439; 	-2.898; 	 1.573; 	104.801; 	 7.927; 	 8.689; 	 8.613; 
1,64; 	 0.000; 	-0.387; 	-2.792; 	 1.903; 	105.411; 	 8.841; 	10.061; 	10.290; 
1,68; 	 0.000; 	-0.334; 	-2.792; 	 1.243; 	104.039; 	 9.146; 	 9.908; 	10.213; 
1,72; 	 0.000; 	-0.230; 	-2.898; 	 1.134; 	104.191; 	 9.451; 	11.128; 	10.518; 
1,76; 	 0.000; 	-0.647; 	-2.898; 	 1.793; 	104.496; 	10.976; 	10.671; 	12.043; 
1,8; 	 0.000; 	-0.126; 	-2.686; 	 1.243; 	104.344; 	11.433; 	12.652; 	12.957; 
1,84; 	 0.000; 	-0.543; 	-2.792; 	 1.463; 	104.953; 	12.957; 	13.110; 	13.262; 
1,88; 	 0.000; 	-0.334; 	-2.898; 	 1.024; 	103.734; 	12.195; 	12.652; 	13.110; 
1,92; 	 0.000; 	 0.083; 	-2.898; 	 0.914; 	104.496; 	14.024; 	12.652; 	13.872; 
1,96; 	 0.000; 	-0.543; 	-3.004; 	 1.573; 	104.953; 	14.482; 	14.786; 	15.625; 
2; 	 0.000; 	-1.378; 	-3.642; 	 2.562; 	105.868; 	16.006; 	16.539; 	16.235; 
2,04; 	 0.000; 	-1.065; 	-3.217; 	 1.793; 	104.648; 	15.168; 	14.024; 	14.634; 
2,08; 	 0.000; 	-0.230; 	-2.686; 	 1.683; 	104.572; 	16.082; 	14.482; 	15.168; 
2,12; 	 0.000; 	-1.899; 	-4.173; 	 2.672; 	106.325; 	18.521; 	16.463; 	17.607; 
2,16; 	 0.000; 	-1.273; 	-3.854; 	 2.452; 	106.020; 	18.216; 	17.149; 	17.911; 
2,2; 	 0.000; 	-1.378; 	-3.748; 	 2.013; 	105.487; 	17.607; 	16.082; 	17.302; 
2,24; 	 0.000; 	-0.960; 	-3.217; 	 1.683; 	104.953; 	17.759; 	15.472; 	17.454; 
2,28; 	 0.000; 	-1.065; 	-3.854; 	 1.793; 	105.106; 	18.826; 	16.539; 	17.759; 
2,32; 	 0.000; 	-1.169; 	-3.429; 	 2.013; 	105.258; 	18.064; 	16.235; 	17.454; 
2,36; 	 0.000; 	-1.273; 	-3.111; 	 1.793; 	105.106; 	18.521; 	16.997; 	16.997; 
2,4; 	 0.000; 	-1.482; 	-2.898; 	 1.793; 	105.106; 	18.216; 	16.387; 	17.378; 
2,44; 	 0.000; 	-1.169; 	-3.323; 	 1.573; 	105.106; 	19.131; 	18.064; 	18.216; 
2,48; 	 0.000; 	-0.856; 	-3.323; 	 2.068; 	105.411; 	18.369; 	15.777; 	17.302; 
2,52; 	 0.000; 	-1.273; 	-3.217; 	 1.903; 	105.411; 	18.674; 	17.149; 	18.064; 
2,56; 	 0.000; 	-1.273; 	-3.642; 	 2.013; 	105.258; 	18.826; 	16.539; 	18.445; 
2,6; 	 0.000; 	-0.752; 	-3.535; 	 1.463; 	104.953; 	18.064; 	16.844; 	17.454; 
2,64; 	 0.000; 	-0.960; 	-3.535; 	 1.683; 	104.801; 	18.216; 	16.082; 	17.454; 
2,68; 	 0.000; 	-0.960; 	-3.429; 	 2.123; 	105.258; 	18.369; 	16.539; 	16.997; 
2,72; 	 0.000; 	-1.169; 	-3.323; 	 1.793; 	105.182; 	18.064; 	16.387; 	17.683; 
2,76; 	 0.000; 	-1.273; 	-2.898; 	 2.232; 	105.258; 	16.997; 	14.939; 	16.463; 
2,8; 	 0.000; 	-1.482; 	-3.854; 	 2.452; 	106.478; 	18.216; 	15.854; 	17.911; 
2,84; 	 0.000; 	-1.378; 	-3.748; 	 2.452; 	106.325; 	17.454; 	15.549; 	16.692; 
2,88; 	 0.000; 	-1.378; 	-3.801; 	 1.793; 	105.411; 	16.997; 	15.396; 	16.692; 
2,92; 	 0.000; 	-1.690; 	-4.597; 	 2.782; 	106.630; 	16.997; 	15.854; 	17.302; 
2,96; 	 0.000; 	-1.065; 	-3.960; 	 2.232; 	105.715; 	16.158; 	15.549; 	16.997; 
3; 	 0.000; 	-1.795; 	-3.535; 	 2.123; 	105.258; 	15.396; 	16.539; 	15.015; 
3,04; 	 0.000; 	-0.752; 	-3.217; 	 2.123; 	105.258; 	14.177; 	13.567; 	15.625; 
3,08; 	 0.000; 	-1.482; 	-3.535; 	 2.232; 	106.020; 	14.024; 	14.329; 	14.634; 
3,12; 	 0.000; 	-0.543; 	-2.474; 	 0.914; 	103.886; 	11.280; 	11.280; 	12.805; 
3,16; 	 0.000; 	-0.439; 	-3.004; 	 1.463; 	104.496; 	11.128; 	12.652; 	12.729; 
3,2; 	 0.000; 	-0.439; 	-3.429; 	 1.353; 	104.344; 	10.213; 	10.671; 	11.280; 
3,24; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.496; 	 9.908; 	10.976; 	10.366; 
3,28; 	 0.000; 	 0.187; 	-2.686; 	 1.353; 	104.801; 	 8.841; 	10.061; 	10.747; 
3,32; 	 0.000; 	 0.083; 	-2.367; 	 1.024; 	104.648; 	 8.537; 	 9.451; 	 9.908; 
3,36; 	 0.000; 	-0.230; 	-2.261; 	 0.529; 	104.039; 	 6.402; 	 8.232; 	 8.232; 
3,4; 	 0.000; 	-0.647; 	-3.111; 	 1.463; 	104.344; 	 6.098; 	 7.317; 	 7.774; 
3,44; 	 0.000; 	-0.647; 	-2.951; 	 1.353; 	104.496; 	 5.183; 	 6.402; 	 7.012; 
3,48; 	 0.000; 	-0.282; 	-2.845; 	 1.408; 	104.877; 	 4.802; 	 6.326; 	 5.716; 
