16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.856; 	-3.960; 	 2.123; 	105.106; 	18.826; 	16.387; 	17.911; 
0,08; 	 0.000; 	-0.334; 	-3.323; 	 1.243; 	104.496; 	18.369; 	16.235; 	16.844; 
0,12; 	 0.000; 	-1.169; 	-3.854; 	 1.353; 	104.648; 	18.369; 	16.235; 	17.759; 
0,16; 	 0.000; 	-0.752; 	-3.429; 	 1.793; 	104.648; 	18.369; 	16.082; 	17.759; 
0,2; 	 0.000; 	-0.856; 	-3.960; 	 2.013; 	104.953; 	18.521; 	15.244; 	17.759; 
0,24; 	 0.000; 	-1.221; 	-4.385; 	 2.562; 	106.478; 	19.893; 	16.844; 	18.369; 
0,28; 	 0.000; 	-1.169; 	-3.535; 	 1.903; 	104.953; 	18.216; 	16.387; 	17.073; 
0,32; 	 0.000; 	-0.647; 	-3.323; 	 1.683; 	104.953; 	17.454; 	15.320; 	16.844; 
0,36; 	 0.000; 	-0.752; 	-3.004; 	 1.903; 	104.953; 	17.454; 	16.539; 	16.844; 
0,4; 	 0.000; 	-0.856; 	-3.535; 	 1.683; 	105.258; 	17.302; 	14.329; 	16.158; 
0,44; 	 0.000; 	-1.378; 	-4.597; 	 2.672; 	106.783; 	18.445; 	17.149; 	17.759; 
0,48; 	 0.000; 	-0.647; 	-3.642; 	 1.573; 	104.496; 	16.082; 	14.329; 	15.930; 
0,52; 	 0.000; 	-1.065; 	-4.173; 	 2.232; 	105.868; 	16.997; 	15.549; 	16.463; 
0,56; 	 0.000; 	-0.439; 	-3.323; 	 2.013; 	105.411; 	15.015; 	14.786; 	16.082; 
0,6; 	 0.000; 	-0.960; 	-3.960; 	 2.232; 	106.020; 	15.701; 	15.396; 	15.701; 
0,64; 	 0.000; 	 0.083; 	-2.155; 	 1.079; 	104.344; 	13.262; 	13.719; 	14.253; 
0,68; 	 0.000; 	-0.647; 	-3.535; 	 1.903; 	105.411; 	12.957; 	13.415; 	13.110; 
0,72; 	 0.000; 	-0.439; 	-3.323; 	 1.793; 	105.411; 	13.110; 	13.415; 	14.939; 
0,76; 	 0.000; 	 0.083; 	-2.367; 	 1.024; 	104.648; 	11.128; 	11.433; 	12.119; 
0,8; 	 0.000; 	-0.022; 	-3.323; 	 1.353; 	104.496; 	10.366; 	11.280; 	12.195; 
0,84; 	 0.000; 	-0.230; 	-3.323; 	 0.969; 	104.039; 	 8.841; 	10.061; 	10.671; 
0,88; 	 0.000; 	-0.334; 	-2.898; 	 1.573; 	105.106; 	 9.451; 	 9.451; 	11.052; 
0,92; 	 0.000; 	-0.230; 	-2.686; 	 1.353; 	104.801; 	 8.537; 	 9.756; 	10.061; 
0,96; 	 0.000; 	-0.543; 	-2.898; 	 1.463; 	104.801; 	 6.860; 	 7.317; 	 8.537; 
1; 	 0.000; 	-0.439; 	-3.429; 	 1.573; 	104.801; 	 6.250; 	 8.994; 	 8.841; 
1,04; 	 0.000; 	-0.126; 	-3.217; 	 1.243; 	104.648; 	 5.030; 	 6.098; 	 6.860; 
1,08; 	 0.000; 	-0.543; 	-3.323; 	 1.573; 	104.496; 	 4.726; 	 7.012; 	 6.707; 
1,12; 	 0.000; 	-0.126; 	-3.323; 	 1.353; 	104.801; 	 4.268; 	 4.573; 	 6.402; 
1,16; 	 0.000; 	-0.230; 	-3.111; 	 1.408; 	105.106; 	 3.354; 	 5.488; 	 5.488; 
1,2; 	 0.000; 	-0.126; 	-2.580; 	 1.079; 	103.581; 	 0.457; 	 2.287; 	 3.506; 
1,24; 	 0.000; 	-0.230; 	-3.323; 	 1.463; 	104.496; 	 0.610; 	 2.439; 	 2.744; 
1,28; 	 0.000; 	-0.543; 	-2.686; 	 1.243; 	104.648; 	-0.610; 	 1.829; 	 2.515; 
1,32; 	 0.000; 	-0.230; 	-3.111; 	 1.463; 	104.344; 	-1.982; 	 1.067; 	 0.762; 
1,36; 	 0.000; 	 0.500; 	-2.155; 	 1.134; 	104.039; 	-3.811; 	-0.305; 	 0.229; 
1,4; 	 0.000; 	-0.543; 	-3.111; 	 1.353; 	104.496; 	-4.116; 	-1.372; 	-0.915; 
1,44; 	 0.000; 	-0.439; 	-3.429; 	 1.573; 	104.648; 	-4.954; 	-2.287; 	-0.762; 
1,48; 	 0.000; 	-0.439; 	-3.535; 	 1.188; 	104.496; 	-6.021; 	-3.354; 	-2.439; 
1,52; 	 0.000; 	-0.543; 	-3.323; 	 1.243; 	104.039; 	-6.936; 	-4.344; 	-3.201; 
1,56; 	 0.000; 	 0.500; 	-2.474; 	 0.804; 	103.734; 	-9.222; 	-4.649; 	-4.954; 
1,6; 	 0.000; 	-1.065; 	-3.748; 	 1.903; 	105.106; 	-9.527; 	-5.412; 	-5.335; 
1,64; 	 0.000; 	-0.752; 	-3.111; 	 1.903; 	104.953; 	-10.442; 	-5.412; 	-6.098; 
1,68; 	 0.000; 	-1.169; 	-3.429; 	 2.123; 	105.868; 	-11.052; 	-6.783; 	-5.945; 
1,72; 	 0.000; 	-1.169; 	-3.535; 	 2.342; 	105.563; 	-11.661; 	-6.479; 	-6.936; 
1,76; 	 0.000; 	-0.647; 	-3.535; 	 1.793; 	105.106; 	-13.948; 	-8.918; 	-8.003; 
1,8; 	 0.000; 	-0.804; 	-3.429; 	 1.463; 	104.648; 	-14.100; 	-8.613; 	-8.003; 
1,84; 	 0.000; 	-0.856; 	-4.173; 	 2.013; 	105.411; 	-14.863; 	-10.290; 	-9.070; 
1,88; 	 0.000; 	-1.273; 	-3.748; 	 2.232; 	105.563; 	-17.149; 	-11.661; 	-11.661; 
1,92; 	 0.000; 	-0.960; 	-3.748; 	 2.123; 	104.953; 	-17.759; 	-11.661; 	-11.052; 
1,96; 	 0.000; 	-1.169; 	-3.429; 	 2.123; 	105.563; 	-18.978; 	-11.966; 	-12.195; 
2; 	 0.000; 	-1.169; 	-3.323; 	 1.683; 	104.801; 	-19.817; 	-12.119; 	-12.576; 
2,04; 	 0.000; 	-0.960; 	-3.535; 	 1.683; 	104.496; 	-21.570; 	-14.863; 	-13.948; 
2,08; 	 0.000; 	-0.647; 	-3.642; 	 1.573; 	104.496; 	-22.180; 	-14.100; 	-13.872; 
2,12; 	 0.000; 	-0.960; 	-3.429; 	 1.463; 	104.344; 	-22.332; 	-15.930; 	-15.320; 
2,16; 	 0.000; 	-0.856; 	-3.535; 	 1.903; 	104.648; 	-23.552; 	-15.320; 	-15.244; 
2,2; 	 0.000; 	-0.752; 	-3.535; 	 1.353; 	104.496; 	-23.856; 	-17.607; 	-16.006; 
2,24; 	 0.000; 	-0.647; 	-3.323; 	 2.013; 	104.801; 	-24.695; 	-17.911; 	-17.225; 
2,28; 	 0.000; 	-1.378; 	-3.217; 	 1.903; 	104.953; 	-25.610; 	-17.911; 	-17.607; 
2,32; 	 0.000; 	-1.065; 	-3.217; 	 1.793; 	104.496; 	-26.372; 	-18.826; 	-17.759; 
2,36; 	 0.000; 	-0.647; 	-3.535; 	 2.013; 	104.648; 	-27.286; 	-19.436; 	-18.216; 
2,4; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.801; 	-27.591; 	-19.741; 	-18.826; 
2,44; 	 0.000; 	-0.960; 	-3.323; 	 1.353; 	104.191; 	-28.049; 	-20.503; 	-19.588; 
2,48; 	 0.000; 	-0.439; 	-3.323; 	 1.353; 	104.191; 	-29.116; 	-20.960; 	-19.131; 
2,52; 	 0.000; 	-0.856; 	-3.748; 	 1.683; 	103.581; 	-29.725; 	-22.332; 	-19.969; 
2,56; 	 0.000; 	-1.273; 	-3.535; 	 1.573; 	104.496; 	-29.420; 	-21.570; 	-20.046; 
2,6; 	 0.000; 	-1.586; 	-3.748; 	 2.232; 	105.258; 	-29.420; 	-21.265; 	-19.741; 
2,64; 	 0.000; 	-1.273; 	-3.748; 	 2.232; 	105.258; 	-28.201; 	-20.960; 	-20.122; 
2,68; 	 0.000; 	-1.169; 	-3.004; 	 1.463; 	104.191; 	-31.402; 	-22.942; 	-21.036; 
2,72; 	 0.000; 	-1.169; 	-3.535; 	 2.013; 	104.801; 	-30.640; 	-21.265; 	-19.893; 
2,76; 	 0.000; 	-0.960; 	-4.066; 	 2.123; 	105.258; 	-30.488; 	-22.332; 	-19.512; 
2,8; 	 0.000; 	-1.065; 	-4.385; 	 1.793; 	104.801; 	-30.030; 	-20.655; 	-20.350; 
2,84; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.496; 	-30.640; 	-23.323; 	-20.350; 
2,88; 	 0.000; 	-0.647; 	-3.217; 	 0.914; 	103.353; 	-32.164; 	-22.789; 	-20.655; 
2,92; 	 0.000; 	-1.273; 	-3.535; 	 1.134; 	105.258; 	-30.335; 	-21.570; 	-20.350; 
2,96; 	 0.000; 	-1.273; 	-3.535; 	 1.793; 	106.020; 	-30.335; 	-22.485; 	-20.350; 
3; 	 0.000; 	-1.482; 	-3.217; 	 1.683; 	104.496; 	-31.097; 	-23.552; 	-19.741; 
3,04; 	 0.000; 	-1.273; 	-3.535; 	 2.782; 	104.191; 	-32.164; 	-23.094; 	-20.655; 
3,08; 	 0.000; 	 0.135; 	-2.686; 	 1.243; 	103.581; 	-30.640; 	-22.027; 	-20.808; 
3,12; 	 0.000; 	-1.065; 	-3.323; 	 1.628; 	104.191; 	-29.420; 	-18.521; 	-19.664; 
3,16; 	 0.000; 	-0.647; 	-3.535; 	 0.584; 	104.801; 	-29.420; 	-20.655; 	-18.750; 
3,2; 	 0.000; 	-0.752; 	-3.748; 	 1.573; 	104.801; 	-26.981; 	-20.960; 	-19.436; 
3,24; 	 0.000; 	-0.960; 	-2.792; 	 1.903; 	104.344; 	-28.049; 	-26.524; 	-21.570; 
3,28; 	 0.000; 	-1.169; 	-3.217; 	 1.903; 	104.648; 	-27.439; 	-20.503; 	-19.588; 
3,32; 	 0.000; 	-1.586; 	-3.429; 	 1.683; 	104.496; 	-26.372; 	-20.960; 	-18.064; 
3,36; 	 0.000; 	-0.439; 	-3.323; 	 1.903; 	104.801; 	-27.286; 	-19.131; 	-18.978; 
3,4; 	 0.000; 	-1.273; 	-3.535; 	 1.463; 	103.276; 	-26.372; 	-20.046; 	-17.530; 
3,44; 	 0.000; 	-1.899; 	-3.111; 	 1.573; 	104.496; 	-24.847; 	-16.692; 	-16.692; 
3,48; 	 0.000; 	-0.595; 	-3.429; 	 1.243; 	104.344; 	-25.000; 	-18.369; 	-15.930; 
3,52; 	 0.000; 	-0.334; 	-2.792; 	 1.353; 	103.734; 	-23.399; 	-17.149; 	-16.235; 
3,56; 	 0.000; 	-1.378; 	-3.217; 	 1.903; 	104.953; 	-23.094; 	-13.186; 	-16.235; 
3,6; 	 0.000; 	-0.960; 	-3.535; 	 0.804; 	104.648; 	-21.570; 	-15.320; 	-14.405; 
3,64; 	 0.000; 	-1.169; 	-3.217; 	 2.013; 	104.801; 	-20.350; 	-13.948; 	-13.415; 
3,68; 	 0.000; 	-0.647; 	-3.323; 	 1.903; 	104.953; 	-20.198; 	-13.338; 	-14.177; 
3,72; 	 0.000; 	-1.169; 	-3.535; 	 1.573; 	104.496; 	-19.131; 	-12.729; 	-13.643; 
3,76; 	 0.000; 	-1.378; 	-3.535; 	 1.793; 	104.496; 	-19.131; 	-11.509; 	-11.738; 
3,8; 	 0.000; 	-0.647; 	-4.385; 	 1.793; 	105.106; 	-16.997; 	-11.204; 	-9.070; 
3,84; 	 0.000; 	-0.647; 	-3.535; 	 1.848; 	105.411; 	-14.863; 	-9.985; 	-9.299; 
3,88; 	 0.000; 	 0.083; 	-3.535; 	 1.134; 	104.953; 	-15.168; 	-11.357; 	-8.689; 
3,92; 	 0.000; 	-1.273; 	-3.748; 	 2.672; 	105.715; 	-13.033; 	-8.460; 	-8.765; 
3,96; 	 0.000; 	-0.960; 	-3.535; 	 1.793; 	104.496; 	-12.424; 	-9.222; 	-7.774; 
4; 	 0.000; 	-1.899; 	-3.004; 	 2.013; 	105.411; 	-11.204; 	-4.344; 	-5.945; 
4,04; 	 0.000; 	-0.856; 	-3.642; 	 1.573; 	105.258; 	-11.204; 	-6.631; 	-6.174; 
4,08; 	 0.000; 	-1.273; 	-3.960; 	 2.232; 	105.715; 	-8.460; 	-3.887; 	-3.811; 
4,12; 	 0.000; 	-0.647; 	-3.748; 	 1.134; 	104.344; 	-8.918; 	-5.412; 	-6.707; 
4,16; 	 0.000; 	-0.439; 	-3.535; 	 1.573; 	103.886; 	-5.945; 	-3.354; 	-1.982; 
4,2; 	 0.000; 	-0.439; 	-3.004; 	 1.463; 	104.344; 	-7.698; 	-3.506; 	-1.524; 
4,24; 	 0.000; 	-0.230; 	-4.279; 	 1.573; 	104.496; 	-4.802; 	-1.220; 	 1.524; 
4,28; 	 0.000; 	-0.022; 	-2.898; 	 1.463; 	104.648; 	-4.954; 	-1.067; 	 0.229; 
4,32; 	 0.000; 	 0.291; 	-2.474; 	 0.914; 	103.886; 	-3.963; 	-1.677; 	-0.305; 
4,36; 	 0.000; 	-0.752; 	-3.323; 	 1.793; 	104.801; 	-1.829; 	 2.134; 	 0.610; 
4,4; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	105.106; 	-1.524; 	 1.524; 	 2.134; 
4,44; 	 0.000; 	-0.647; 	-3.323; 	 1.024; 	104.496; 	 0.305; 	 4.878; 	 3.049; 
4,48; 	 0.000; 	-0.334; 	-2.474; 	 0.584; 	104.344; 	 0.838; 	 2.134; 	 3.277; 
4,52; 	 0.000; 	-0.230; 	-3.111; 	 1.573; 	105.411; 	 3.659; 	 5.488; 	 5.793; 
4,56; 	 0.000; 	-0.230; 	-3.748; 	 1.134; 	104.496; 	 3.659; 	 4.573; 	 6.402; 
4,6; 	 0.000; 	-0.543; 	-2.898; 	 1.573; 	104.801; 	 5.030; 	 6.402; 	 5.488; 
4,64; 	 0.000; 	-0.230; 	-2.686; 	 1.353; 	104.953; 	 4.573; 	 6.707; 	 5.793; 
4,68; 	 0.000; 	-0.439; 	-4.385; 	 1.683; 	105.106; 	 7.012; 	 8.537; 	10.976; 
4,72; 	 0.000; 	-0.647; 	-3.111; 	 2.013; 	106.020; 	 7.317; 	 8.841; 	 8.918; 
4,76; 	 0.000; 	 0.500; 	-2.474; 	 0.914; 	104.496; 	 8.232; 	 7.165; 	 8.841; 
4,8; 	 0.000; 	-0.439; 	-3.217; 	 1.573; 	104.496; 	 9.146; 	 9.451; 	 9.756; 
4,84; 	 0.000; 	-0.022; 	-3.004; 	 0.804; 	104.344; 	 9.604; 	 9.908; 	12.271; 
4,88; 	 0.000; 	-0.230; 	-2.474; 	 0.914; 	104.191; 	10.823; 	12.500; 	11.585; 
4,92; 	 0.000; 	-0.230; 	-3.004; 	 0.694; 	104.801; 	11.890; 	12.195; 	12.805; 
4,96; 	 0.000; 	-0.439; 	-2.792; 	 1.024; 	104.648; 	11.738; 	11.128; 	12.652; 
5; 	 0.000; 	-0.647; 	-3.429; 	 1.463; 	104.953; 	13.262; 	12.652; 	13.948; 
5,04; 	 0.000; 	-0.022; 	-2.898; 	 1.683; 	104.801; 	13.415; 	13.110; 	14.710; 
5,08; 	 0.000; 	-0.178; 	-2.845; 	 1.408; 	104.725; 	14.253; 	13.643; 	15.091; 
5,12; 	 0.000; 	-1.273; 	-2.898; 	 2.672; 	105.715; 	16.844; 	14.024; 	14.634; 
5,16; 	 0.000; 	 0.187; 	-2.898; 	 1.134; 	103.276; 	16.539; 	14.024; 	15.854; 
