16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.647; 	-3.323; 	 2.452; 	105.715; 	 6.402; 	 8.232; 	 6.098; 
0,08; 	 0.000; 	-0.543; 	-2.792; 	 1.573; 	104.648; 	 3.811; 	 3.963; 	 5.945; 
0,12; 	 0.000; 	 0.709; 	-2.474; 	 1.353; 	104.801; 	 3.506; 	 8.384; 	 5.564; 
0,16; 	 0.000; 	-0.543; 	-2.898; 	 1.353; 	105.715; 	 3.354; 	 4.726; 	 4.116; 
0,2; 	 0.000; 	-0.230; 	-2.898; 	 1.243; 	104.191; 	 0.915; 	 5.030; 	 4.040; 
0,24; 	 0.000; 	 0.187; 	-2.898; 	 1.134; 	104.496; 	 0.457; 	 3.659; 	 2.134; 
0,28; 	 0.000; 	-0.334; 	-3.004; 	 1.903; 	104.191; 	-1.220; 	 1.220; 	 2.515; 
0,32; 	 0.000; 	 0.239; 	-2.792; 	 1.024; 	104.953; 	-1.829; 	 0.762; 	 1.372; 
0,36; 	 0.000; 	-0.230; 	-3.748; 	 1.683; 	104.496; 	-2.439; 	-2.439; 	 1.067; 
0,4; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.953; 	-4.116; 	-1.829; 	 0.381; 
0,44; 	 0.000; 	-0.752; 	-3.323; 	 1.573; 	105.106; 	-5.107; 	-2.439; 	-2.134; 
0,48; 	 0.000; 	 0.083; 	-2.898; 	 1.024; 	104.191; 	-6.631; 	-7.088; 	-2.896; 
0,52; 	 0.000; 	-0.126; 	-2.792; 	 0.804; 	104.648; 	-8.003; 	-4.954; 	-3.735; 
0,56; 	 0.000; 	-0.022; 	-3.111; 	 1.134; 	103.886; 	-8.308; 	-5.412; 	-4.726; 
0,6; 	 0.000; 	-0.126; 	-3.429; 	 1.903; 	105.258; 	-8.918; 	-1.982; 	-3.430; 
0,64; 	 0.000; 	-1.169; 	-3.854; 	 2.452; 	105.563; 	-9.680; 	-5.716; 	-4.497; 
0,68; 	 0.000; 	-0.856; 	-3.748; 	 1.683; 	104.801; 	-12.424; 	-7.546; 	-6.555; 
0,72; 	 0.000; 	-1.273; 	-3.323; 	 2.232; 	105.715; 	-11.814; 	-8.155; 	-7.241; 
0,76; 	 0.000; 	-1.065; 	-3.323; 	 2.452; 	105.258; 	-13.643; 	-8.765; 	-7.546; 
0,8; 	 0.000; 	-0.752; 	-3.217; 	 1.573; 	104.953; 	-15.320; 	-9.832; 	-8.918; 
0,84; 	 0.000; 	-0.752; 	-3.323; 	 1.573; 	105.258; 	-15.930; 	-9.527; 	-8.460; 
0,88; 	 0.000; 	-1.273; 	-3.960; 	 1.793; 	105.411; 	-16.082; 	-11.509; 	-10.518; 
0,92; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.572; 	-17.302; 	-11.052; 	-11.814; 
0,96; 	 0.000; 	-0.543; 	-3.642; 	 1.463; 	105.258; 	-17.911; 	-13.491; 	-11.814; 
1; 	 0.000; 	-0.856; 	-3.748; 	 2.232; 	105.411; 	-19.131; 	-12.729; 	-12.119; 
1,04; 	 0.000; 	-1.169; 	-3.535; 	 1.793; 	104.801; 	-20.960; 	-13.948; 	-13.338; 
1,08; 	 0.000; 	-1.169; 	-3.111; 	 1.573; 	103.886; 	-22.180; 	-15.168; 	-15.320; 
1,12; 	 0.000; 	-0.856; 	-3.217; 	 1.683; 	104.191; 	-23.628; 	-16.235; 	-14.939; 
1,16; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	105.258; 	-23.780; 	-16.692; 	-15.777; 
1,2; 	 0.000; 	-0.543; 	-3.429; 	 1.573; 	104.039; 	-24.238; 	-17.454; 	-16.158; 
1,24; 	 0.000; 	-0.543; 	-3.004; 	 1.243; 	104.953; 	-24.847; 	-18.216; 	-15.930; 
1,28; 	 0.000; 	-0.439; 	-3.217; 	 1.353; 	103.581; 	-25.152; 	-18.674; 	-16.692; 
1,32; 	 0.000; 	-0.960; 	-3.642; 	 1.463; 	104.496; 	-26.829; 	-19.588; 	-18.064; 
1,36; 	 0.000; 	-0.647; 	-3.111; 	 1.903; 	104.496; 	-26.372; 	-19.741; 	-18.064; 
1,4; 	 0.000; 	-0.960; 	-3.429; 	 2.232; 	105.106; 	-26.829; 	-19.741; 	-18.902; 
1,44; 	 0.000; 	-0.960; 	-3.323; 	 1.683; 	104.801; 	-28.049; 	-21.113; 	-19.283; 
1,48; 	 0.000; 	-1.065; 	-3.111; 	 1.408; 	104.496; 	-29.116; 	-19.893; 	-18.826; 
1,52; 	 0.000; 	-0.543; 	-3.323; 	 1.353; 	104.496; 	-29.116; 	-21.265; 	-18.826; 
1,56; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	103.886; 	-29.116; 	-20.503; 	-20.046; 
1,6; 	 0.000; 	-0.856; 	-3.535; 	 1.353; 	104.191; 	-29.573; 	-22.789; 	-20.274; 
1,64; 	 0.000; 	-0.543; 	-2.580; 	 1.024; 	103.734; 	-30.488; 	-22.180; 	-20.503; 
1,68; 	 0.000; 	-0.856; 	-3.111; 	 1.793; 	104.801; 	-29.725; 	-22.485; 	-19.969; 
1,72; 	 0.000; 	-0.543; 	-2.155; 	 1.243; 	103.886; 	-31.555; 	-22.485; 	-21.417; 
1,76; 	 0.000; 	-1.378; 	-2.898; 	 1.793; 	104.953; 	-30.183; 	-22.637; 	-20.503; 
1,8; 	 0.000; 	-1.065; 	-3.217; 	 1.463; 	104.648; 	-30.488; 	-22.027; 	-20.198; 
1,84; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	104.801; 	-30.030; 	-21.875; 	-19.893; 
1,88; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	104.801; 	-30.335; 	-22.180; 	-20.960; 
1,92; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.801; 	-30.335; 	-22.789; 	-20.350; 
1,96; 	 0.000; 	-0.647; 	-3.323; 	 1.463; 	104.496; 	-30.792; 	-23.094; 	-21.341; 
2; 	 0.000; 	-0.960; 	-3.217; 	 1.793; 	104.648; 	-30.335; 	-22.637; 	-20.503; 
2,04; 	 0.000; 	-0.856; 	-3.642; 	 1.903; 	104.801; 	-30.335; 	-22.180; 	-20.503; 
2,08; 	 0.000; 	-0.960; 	-3.642; 	 1.793; 	104.801; 	-29.725; 	-22.027; 	-19.741; 
2,12; 	 0.000; 	-1.273; 	-3.535; 	 2.123; 	105.715; 	-29.420; 	-20.960; 	-19.131; 
2,16; 	 0.000; 	-1.169; 	-3.111; 	 1.188; 	104.191; 	-28.811; 	-20.960; 	-19.436; 
2,2; 	 0.000; 	-1.273; 	-3.111; 	 1.793; 	104.496; 	-28.506; 	-21.113; 	-19.741; 
2,24; 	 0.000; 	-1.065; 	-3.323; 	 1.353; 	104.191; 	-28.353; 	-22.180; 	-19.436; 
2,28; 	 0.000; 	-0.856; 	-3.642; 	 1.683; 	104.648; 	-27.744; 	-20.198; 	-18.293; 
2,32; 	 0.000; 	-0.543; 	-3.004; 	 1.463; 	104.344; 	-27.439; 	-20.503; 	-17.988; 
2,36; 	 0.000; 	-0.752; 	-3.111; 	 1.683; 	104.953; 	-25.914; 	-19.588; 	-17.454; 
2,4; 	 0.000; 	-0.856; 	-3.748; 	 2.232; 	104.648; 	-25.457; 	-19.131; 	-16.844; 
2,44; 	 0.000; 	-0.856; 	-3.323; 	 1.903; 	104.801; 	-25.762; 	-18.826; 	-17.149; 
2,48; 	 0.000; 	-0.700; 	-3.323; 	 1.353; 	104.496; 	-24.695; 	-17.911; 	-16.387; 
2,52; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.496; 	-23.856; 	-15.777; 	-15.472; 
2,56; 	 0.000; 	-0.543; 	-3.323; 	 1.353; 	104.191; 	-22.789; 	-16.235; 	-14.863; 
2,6; 	 0.000; 	-0.647; 	-3.323; 	 1.353; 	104.344; 	-22.485; 	-15.168; 	-14.177; 
2,64; 	 0.000; 	-0.752; 	-3.323; 	 1.353; 	104.344; 	-20.960; 	-14.863; 	-13.948; 
2,68; 	 0.000; 	-0.230; 	-32.100; 	 1.134; 	103.124; 	-19.131; 	-19.588; 	-14.786; 
2,72; 	 0.000; 	-0.856; 	-3.111; 	 1.683; 	104.801; 	-20.655; 	-35.823; 	-16.235; 
2,76; 	 0.000; 	-1.065; 	-3.004; 	 1.463; 	104.648; 	-19.588; 	-48.399; 	-16.692; 
2,8; 	 0.000; 	-0.752; 	-3.748; 	 1.628; 	104.496; 	-18.674; 	-57.698; 	-16.692; 
2,84; 	 0.000; 	-0.856; 	-4.173; 	 1.353; 	103.886; 	-18.216; 	-62.881; 	-16.616; 
2,88; 	 0.000; 	-0.647; 	-4.597; 	 1.353; 	103.581; 	-16.997; 	-65.548; 	-14.786; 
2,92; 	 0.000; 	-0.543; 	-6.190; 	 1.903; 	105.106; 	-15.320; 	-66.615; 	-12.881; 
2,96; 	 0.000; 	-1.169; 	-6.933; 	 2.013; 	105.106; 	-13.338; 	-65.548; 	-11.433; 
3; 	 0.000; 	-1.273; 	-8.208; 	 2.892; 	105.411; 	-12.119; 	-64.176; 	-9.985; 
3,04; 	 0.000; 	-1.690; 	-9.376; 	 3.331; 	106.325; 	-9.680; 	-63.414; 	-9.527; 
3,08; 	 0.000; 	-1.482; 	-10.119; 	 3.551; 	106.630; 	-8.918; 	-61.890; 	-7.851; 
3,12; 	 0.000; 	-1.065; 	-10.119; 	 2.232; 	105.411; 	-8.765; 	-61.890; 	-7.546; 
3,16; 	 0.000; 	-1.065; 	-11.606; 	 3.112; 	106.325; 	-7.546; 	-61.204; 	-7.698; 
3,2; 	 0.000; 	-0.439; 	-10.969; 	 1.903; 	104.191; 	-8.155; 	-61.509; 	-9.375; 
