16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.022; 	-3.004; 	 1.024; 	103.886; 	 9.299; 	 9.604; 	10.823; 
0,08; 	 0.000; 	-0.230; 	-2.792; 	 1.573; 	104.801; 	10.976; 	11.585; 	11.890; 
0,12; 	 0.000; 	-0.439; 	-3.111; 	 1.573; 	104.801; 	11.128; 	11.280; 	12.805; 
0,16; 	 0.000; 	-0.126; 	-2.580; 	 1.683; 	104.648; 	11.738; 	13.872; 	12.957; 
0,2; 	 0.000; 	-0.334; 	-2.367; 	 1.463; 	104.344; 	12.652; 	12.652; 	14.329; 
0,24; 	 0.000; 	-0.439; 	-2.474; 	 1.573; 	104.496; 	13.110; 	13.415; 	13.796; 
0,28; 	 0.000; 	 0.135; 	-2.474; 	 0.804; 	103.581; 	12.805; 	13.110; 	14.863; 
0,32; 	 0.000; 	-1.169; 	-3.642; 	 2.342; 	106.478; 	16.006; 	17.149; 	16.082; 
0,36; 	 0.000; 	-0.334; 	-3.111; 	 1.353; 	104.496; 	14.863; 	13.415; 	14.482; 
0,4; 	 0.000; 	-0.543; 	-3.217; 	 1.683; 	104.648; 	15.930; 	15.320; 	14.786; 
0,44; 	 0.000; 	-0.439; 	-2.898; 	 1.793; 	104.496; 	16.082; 	14.863; 	15.854; 
0,48; 	 0.000; 	-0.856; 	-3.323; 	 2.452; 	105.563; 	16.387; 	16.082; 	16.692; 
0,52; 	 0.000; 	-0.752; 	-3.004; 	 1.903; 	104.801; 	16.844; 	15.320; 	16.844; 
0,56; 	 0.000; 	-0.856; 	-3.429; 	 1.903; 	104.953; 	17.911; 	15.930; 	16.235; 
0,6; 	 0.000; 	-1.169; 	-3.429; 	 1.903; 	105.258; 	18.064; 	15.930; 	16.997; 
0,64; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.411; 	18.674; 	16.387; 	16.387; 
0,68; 	 0.000; 	-0.752; 	-3.535; 	 1.573; 	104.801; 	17.911; 	16.082; 	17.149; 
0,72; 	 0.000; 	-0.856; 	-3.960; 	 2.232; 	105.715; 	19.131; 	16.692; 	17.988; 
0,76; 	 0.000; 	-0.960; 	-3.535; 	 2.123; 	104.953; 	18.064; 	16.539; 	17.911; 
0,8; 	 0.000; 	-1.586; 	-3.429; 	 2.013; 	105.715; 	18.978; 	17.454; 	17.454; 
0,84; 	 0.000; 	-1.378; 	-2.686; 	 1.793; 	104.801; 	18.826; 	16.692; 	17.302; 
0,88; 	 0.000; 	-0.752; 	-3.111; 	 1.463; 	104.496; 	17.607; 	16.082; 	16.997; 
0,92; 	 0.000; 	-0.960; 	-3.960; 	 1.903; 	105.106; 	18.521; 	16.235; 	17.988; 
0,96; 	 0.000; 	-1.065; 	-3.535; 	 2.342; 	106.020; 	19.283; 	16.692; 	18.445; 
1; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	105.258; 	17.911; 	16.692; 	17.149; 
1,04; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	105.411; 	18.064; 	17.302; 	15.549; 
1,08; 	 0.000; 	-0.960; 	-3.642; 	 1.903; 	105.563; 	17.454; 	15.930; 	15.625; 
1,12; 	 0.000; 	-0.439; 	-3.111; 	 1.793; 	105.106; 	17.302; 	15.625; 	16.692; 
1,16; 	 0.000; 	-0.960; 	-3.748; 	 1.903; 	105.258; 	16.539; 	15.701; 	16.387; 
1,2; 	 0.000; 	-1.482; 	-3.748; 	 2.452; 	105.715; 	17.302; 	16.158; 	17.607; 
1,24; 	 0.000; 	-1.482; 	-4.597; 	 2.672; 	106.630; 	17.302; 	15.854; 	17.607; 
1,28; 	 0.000; 	-0.960; 	-4.066; 	 2.123; 	105.868; 	17.149; 	15.701; 	17.149; 
1,32; 	 0.000; 	-1.482; 	-4.385; 	 2.452; 	106.325; 	16.997; 	14.939; 	16.006; 
1,36; 	 0.000; 	 0.500; 	-2.792; 	 1.573; 	104.496; 	14.024; 	16.082; 	13.491; 
1,4; 	 0.000; 	-0.230; 	-2.792; 	 1.573; 	104.801; 	13.719; 	14.329; 	13.719; 
1,44; 	 0.000; 	-0.230; 	-2.686; 	 1.793; 	104.496; 	12.957; 	12.195; 	12.271; 
