16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.647; 	-3.111; 	 1.573; 	105.563; 	-1.220; 	 1.372; 	 1.524; 
0,08; 	 0.000; 	-0.126; 	-2.898; 	 1.353; 	104.648; 	-3.201; 	 0.000; 	-0.457; 
0,12; 	 0.000; 	-0.543; 	-2.474; 	 1.353; 	104.496; 	-3.659; 	-0.762; 	-0.838; 
0,16; 	 0.000; 	-0.334; 	-2.686; 	 1.683; 	104.648; 	-4.344; 	-1.372; 	-0.762; 
0,2; 	 0.000; 	-0.022; 	-2.686; 	 1.134; 	103.886; 	-6.631; 	-4.573; 	-2.363; 
0,24; 	 0.000; 	-0.230; 	-3.111; 	 1.573; 	104.496; 	-7.241; 	-3.354; 	-2.744; 
0,28; 	 0.000; 	-0.334; 	-2.898; 	 1.134; 	104.648; 	-8.460; 	-4.802; 	-3.659; 
0,32; 	 0.000; 	 0.083; 	-2.261; 	 0.364; 	103.581; 	-10.290; 	-5.869; 	-5.716; 
0,36; 	 0.000; 	-1.273; 	-3.748; 	 2.232; 	105.106; 	-9.680; 	-6.326; 	-5.412; 
0,4; 	 0.000; 	-0.543; 	-3.323; 	 1.903; 	104.953; 	-10.747; 	-6.783; 	-6.783; 
0,44; 	 0.000; 	-1.273; 	-3.429; 	 2.123; 	105.258; 	-12.119; 	-7.393; 	-7.241; 
0,48; 	 0.000; 	-1.273; 	-3.429; 	 2.342; 	105.563; 	-13.338; 	-7.393; 	-8.308; 
0,52; 	 0.000; 	-0.752; 	-3.323; 	 1.683; 	104.496; 	-15.168; 	-9.680; 	-8.613; 
0,56; 	 0.000; 	-0.752; 	-3.217; 	 2.123; 	105.106; 	-15.472; 	-9.527; 	-9.908; 
0,6; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.801; 	-16.844; 	-10.899; 	-10.518; 
